№;Герб;Город;Регион;Федеральный округ;Население;Основание илипервое упоминание;Статус города[4];Прежние названия
753;;Печоры;Псковская область;Северо-Западный;10 247;1473;1782;
754;;Пикалёво;Ленинградская область;Северо-Западный;20 388;1620;1954;
755;;Пионерский;Калининградская область;Северо-Западный;12 794;1254;1952;
756;;Питкяранта;Карелия;Северо-Западный;8340;;1940;
757;;Плавск;Тульская область;Центральный;16 893;1563;1949;
758;;Пласт;Челябинская область;Уральский;18 379;1845;1940;
759;;Плёс;Ивановская область;Центральный;1896;1410;1925;
760;;Поворино;Воронежская область;Центральный;16 417;1870;1954;
761;;Подольск;Московская область;Центральный;314 934;1559;1781;
762;;Подпорожье;Ленинградская область;Северо-Западный;16 123;1936;1956;
763;;Покачи;Ханты-Мансийский АО;Уральский;16 040;1984;1992;
764;;Покров;Владимирская область;Центральный;17 747;1506;1778;
765;;Покровск;Якутия;Дальневосточный;12 021;1682;1997;
766;;Полевской;Свердловская область;Уральский;55 182;1718;1942;Полевской завод
767;;Полесск;Калининградская область;Северо-Западный;6926;1258;1642;
768;;Полысаево;Кемеровская область;Сибирский;25 631;1952;1989;
769;;Полярные Зори;Мурманская область;Северо-Западный;14 146;1968;1991;
770;;Полярный;Мурманская область;Северо-Западный;12 293;1896;1939;
771;;Поронайск;Сахалинская область;Дальневосточный;16 026;1869;1946;
772;;Порхов;Псковская область;Северо-Западный;7309;1239;1239;
773;;Похвистнево;Самарская область;Приволжский;27 333;1888;1947;
774;;Почеп;Брянская область;Центральный;14 991;1447;1925;
775;;Починок;Смоленская область;Центральный;7575;1868;1926;
776;;Пошехонье;Ярославская область;Центральный;5150;1680;1777;
777;;Правдинск;Калининградская область;Северо-Западный;3986;1312;1335;
778;;Приволжск;Ивановская область;Центральный;14 332;1484;1938;
779;;Приморск;Калининградская область;Северо-Западный;1436;1268;2008;
780;;Приморск;Ленинградская область;Северо-Западный;6537;1268;1940;
781;;Приморско-Ахтарск;Краснодарский край;Южный;31 087;1854;1949;
782;;Приозерск;Ленинградская область;Северо-Западный;18 777;;1310;
783;;Прокопьевск;Кемеровская область;Сибирский;177 819;1650;1931;Монастырское
784;;Пролетарск;Ростовская область;Южный;18 983;;1970;
785;;Протвино;Московская область;Центральный;37 735;1960;1989;Серпухов-7
786;;Прохладный;Кабардино-Балкария;Северо-Кавказский;59 938;1765;1937;
787;;Псков;Псковская область;Северо-Западный;193 082;903;903;Плесков
788;;Пугачёв;Саратовская область;Приволжский;40 127;1764;1835;
789;;Пудож;Карелия;Северо-Западный;7356;1382;1785;
790;;Пустошка;Псковская область;Северо-Западный;4070;1901;1925;
791;;Пучеж;Ивановская область;Центральный;6879;1594;1793;
792;;Пушкино;Московская область;Центральный;110 868;1499;1925;
793;;Пущино;Московская область;Центральный;19 578;1956;1966;
794;;Пыталово;Псковская область;Северо-Западный;5263;1782;1933;
795;;Пыть-Ях;Ханты-Мансийский АО;Уральский;40 180;1968;1990;
796;;Пятигорск;Ставропольский край;Северо-Кавказский;146 473;1780;1830;
797;;Радужный;Владимирская область;Центральный;17 569;1971;1991;Владимир-30
798;;Радужный;Ханты-Мансийский АО;Уральский;43 577;1973;1985;
799;;Райчихинск;Амурская область;Дальневосточный;15 797;1932;1944;Райчиха
800;;Раменское;Московская область;Центральный;114 537;1328;1926;Раменье
801;;Рассказово;Тамбовская область;Центральный;47 644;1698;1926;
802;;Ревда;Свердловская область;Уральский;60 200;1734;1935;
803;;Реж;Свердловская область;Уральский;36 585;1773;1943;
804;;Реутов;Московская область;Центральный;113 871;1573;1940;
805;;Ржев;Тверская область;Центральный;55 757;1216;1216;
806;;Родники;Ивановская область;Центральный;24 101;1606;1918;
807;;Рославль;Смоленская область;Центральный;45 416;1137;1755;Ростиславль
808;;Россошь;Воронежская область;Центральный;60 879;;1923;
809;;Ростов-на-Дону;Ростовская область;Южный;1 142 162;1749;1807;
810;;Ростов;Ярославская область;Центральный;28 122;862;862;
811;;Рошаль;Московская область;Центральный;21 401;1916;1940;
812;;Ртищево;Саратовская область;Приволжский;37 850;1666;1925;
813;;Рубцовск;Алтайский край;Сибирский;126 834;1892;1927;
814;;Рудня;Смоленская область;Центральный;8908;1363;1926;
815;;Руза;Московская область;Центральный;16 014;1328;1781;
816;;Рузаевка;Мордовия;Приволжский;42 989;1631;1973;
817;;Рыбинск;Ярославская область;Центральный;177 295;1071;1777;
818;;Рыбное;Рязанская область;Центральный;21 069;1597;1961;
819;;Рыльск;Курская область;Центральный;15 069;1152;;
820;;Ряжск;Рязанская область;Центральный;20 634;1502;1778;Рясское Поле
821;;Рязань;Рязанская область;Центральный;528 599;1095;1095;
822;;;Крым;Южный;24 285;1952;1952;Сак
823;;Салават;Башкортостан;Приволжский;148 575;1948;1954;Новострой
824;;Салаир;Кемеровская область;Сибирский;7088;1626;1941;
825;;Салехард;Ямало-Ненецкий АО;Уральский;47 910;1595;1938;
826;;Сальск;Ростовская область;Южный;57 937;1812;1926;
827;;Самара;Самарская область;Приволжский;1 173 299;1586;1688;
828;;Санкт-Петербург;Санкт-Петербург;Северо-Западный;5 601 911;1703;1703;
829;;Саранск;Мордовия;Приволжский;314 871;1641;1780;Саранский Острожек
830;;Сарапул;Удмуртия;Приволжский;91 115;1621;1780;
831;;Саратов;Саратовская область;Приволжский;901 361;1590;1590;
832;;Саров;Нижегородская область;Приволжский;93 357;1691;1954;
833;;Сасово;Рязанская область;Центральный;21 628;1642;1926;
834;;Сатка;Челябинская область;Уральский;42 597;1758;1758;
835;;Сафоново;Смоленская область;Центральный;38 403;1859;1952;
836;;Саяногорск;Хакасия;Сибирский;44 872;1830;1975;
837;;Саянск;Иркутская область;Сибирский;35 561;1970;1985;
838;;Светлогорск;Калининградская область;Северо-Западный;16 207;1258;1947;
839;;Светлоград;Ставропольский край;Северо-Кавказский;35 703;1786;1965;
840;;Светлый;Калининградская область;Северо-Западный;21 114;1640;1955;
841;;Светогорск;Ленинградская область;Северо-Западный;13 784;1887;1949;
842;;Свирск;Иркутская область;Сибирский;15 485;;1949;
843;;Свободный;Амурская область;Дальневосточный;48 517;1912;1912;
844;;Себеж;Псковская область;Северо-Западный;6246;1414;1772;
845;;;Севастополь;Южный;;1783;1783;
846;;Северо-Курильск;Сахалинская область;Дальневосточный;2374;1875;1946;
847;;Северобайкальск;Бурятия;Сибирский;24 233;1974;1980;
848;;Северодвинск;Архангельская область;Северо-Западный;157 213;1936;1938;
849;;Североморск;Мурманская область;Северо-Западный;43 327;1896;1951;
850;;Североуральск;Свердловская область;Уральский;24 428;1758;1944;
851;;Северск;Томская область;Сибирский;106 648;1949;1954;
852;;Севск;Брянская область;Центральный;6732;1146;1146;
853;;Сегежа;Карелия;Северо-Западный;23 543;1914;1943;
854;;Сельцо;Брянская область;Центральный;15 906;1870-е;1990;
855;;Семёнов;Нижегородская область;Приволжский;25 075;1644;1779;
856;;Семикаракорск;Ростовская область;Южный;21 719;1672;1972;
857;;Семилуки;Воронежская область;Центральный;27 938;1615;1954;
858;;Сенгилей;Ульяновская область;Приволжский;6407;1666;1943;
859;;Серафимович;Волгоградская область;Южный;8633;1589;1933;
860;;Сергач;Нижегородская область;Приволжский;20 256;1649;1779;
861;;Сергиев Посад;Московская область;Центральный;101 756;1337;1919;
862;;Сердобск;Пензенская область;Приволжский;30 220;1698;1780;
863;;Серов;Свердловская область;Уральский;94 211;1893;1919;
864;;Серпухов;Московская область;Центральный;133 793;1339;1374;
865;;Сертолово;Ленинградская область;Северо-Западный;68 241;1936;1988;
866;;Сибай;Башкортостан;Приволжский;56 514;1925;1955;Сибаевский рудник
867;;Сим;Челябинская область;Уральский;12 858;1759;1942;
868;;;Крым;Южный;340 540;1784;1784;
869;;Сковородино;Амурская область;Дальневосточный;7057;1908;1927;
870;;Скопин;Рязанская область;Центральный;25 238;1676;1778;
871;;Славгород;Алтайский край;Сибирский;27 900;1910;1914;
872;;Славск;Калининградская область;Северо-Западный;4153;1292;1946;
873;;Славянск-на-Кубани;Краснодарский край;Южный;62 985;1865;1958;
874;;Сланцы;Ленинградская область;Северо-Западный;34 628;1934;1949;
875;;Слободской;Кировская область;Приволжский;29 148;1505;1780;
876;;Слюдянка;Иркутская область;Сибирский;18 058;1899;1936;
877;;Смоленск;Смоленская область;Центральный;316 570;863;863;
878;;Снежинск;Челябинская область;Уральский;50 619;1955;1957;
879;;Снежногорск;Мурманская область;Северо-Западный;9942;1970;1980;
880;;Собинка;Владимирская область;Центральный;17 444;1858;1939;
881;;Советск;Калининградская область;Северо-Западный;38 910;1288;1552;
882;;Советск;Кировская область;Приволжский;14 626;;1937;
883;;Советск;Тульская область;Центральный;7889;1949;1954;Никольское
884;;Советская Гавань;Хабаровский край;Дальневосточный;24 231;1853;1941;
885;;Советский;Ханты-Мансийский АО — Югра;Уральский;31 138;1963;1996;
886;;Сокол;Вологодская область;Северо-Западный;34 742;1615;1932;Соколово
887;;Солигалич;Костромская область;Центральный;5534;1335;1778;Соль Галичьская
888;;Соликамск;Пермский край;Приволжский;89 473;1430;1573;
889;;Солнечногорск;Московская область;Центральный;48 413;;1938;
890;;Соль-Илецк;Оренбургская область;Приволжский;26 149;1754;1865;
891;;Сольвычегодск;Архангельская область;Северо-Западный;1952;1492;1708;
892;;Сольцы;Новгородская область;Северо-Западный;8449;1390;1914;
893;;Сорочинск;Оренбургская область;Приволжский;28 478;1737;1945;
894;;Сорск;Хакасия;Сибирский;10 124;1940;1966;
895;;Сортавала;Карелия;Северо-Западный;14 867;1468;1783;
896;;Сосенский;Калужская область;Центральный;11 413;1952;1991;
897;;Сосновка;Кировская область;Приволжский;8428;1699;1962;
898;;Сосновоборск;Красноярский край;Сибирский;40 442;1971;1985;
899;;Сосновый Бор;Ленинградская область;Северо-Западный;65 367;1958;1973;
900;;Сосногорск;Коми;Северо-Западный;22 189;1939;1955;
901;;Сочи;Краснодарский край;Южный;466 078;1838;1917;
902;;Спас-Деменск;Калужская область;Центральный;4569;1446;1917;
903;;Спас-Клепики;Рязанская область;Центральный;4743;;1920;
904;;Спасск;Пензенская область;Приволжский;6936;;1779;
905;;Спасск-Дальний;Приморский край;Дальневосточный;35 732;1886;1917;
906;;Спасск-Рязанский;Рязанская область;Центральный;5796;1629;1778;
907;;Среднеколымск;Якутия;Дальневосточный;3131;1643;1775;
908;;Среднеуральск;Свердловская область;Уральский;23 344;1931;1966;Посёлок СУГРЭС
909;;Сретенск;Забайкальский край;Сибирский;6093;1689;1926;
910;;Ставрополь;Ставропольский край;Северо-Кавказский;547 443;1777;1785;
911;;Старая Купавна;Московская область;Центральный;22 898;;2004;
912;;Старая Русса;Новгородская область;Северо-Западный;27 487;1167;1167;Руса
913;;Старица;Тверская область;Центральный;6938;1297;1297;
914;;Стародуб;Брянская область;Центральный;17 687;1080;1080;
915;;;Крым;Южный;10 470;;;
916;;Старый Оскол;Белгородская область;Центральный;221 676;1593;1593;
917;;Стерлитамак;Башкортостан;Приволжский;277 410;1766;1782;
918;;Стрежевой;Томская область;Сибирский;39 169;1966;1978;
919;;Строитель;Белгородская область;Центральный;23 780;1958;2000;
920;;Струнино;Владимирская область;Центральный;11 774;1492;1938;
921;;Ступино;Московская область;Центральный;64 412;1938;1938;
922;;Суворов;Тульская область;Центральный;17 598;1949;1954;
923;;;Крым;Южный;17 834;212;;
924;;Суджа;Курская область;Центральный;5127;;1664;
925;;Судогда;Владимирская область;Центральный;10 408;1552;1778;
926;;Суздаль;Владимирская область;Центральный;9286;999;999;
927;;Сунжа;Ингушетия;Северо-Кавказский;62 078;1845;2016;
928;;Суоярви;Карелия;Северо-Западный;7190;;1940;Шуезерск
929;;Сураж;Брянская область;Центральный;11 176;;1781;
930;;Сургут;Ханты-Мансийский АО;Уральский;396 443;1594;1965;
931;;Суровикино;Волгоградская область;Южный;18 227;1744;1966;
932;;Сурск;Пензенская область;Приволжский;6034;1849;1953;
933;;Сусуман;Магаданская область;Дальневосточный;4439;1938;1964;
934;;Сухиничи;Калужская область;Центральный;14 806;;1840;
935;;Сухой Лог;Свердловская область;Уральский;32 748;1710;1943;
936;;Сызрань;Самарская область;Приволжский;165 725;1683;1796;
937;;Сыктывкар;Коми;Северо-Западный;220 580;1780;1780;
938;;Сысерть;Свердловская область;Уральский;20 634;1732;1946;
939;;Сычёвка;Смоленская область;Центральный;7544;1488;1776;
940;;Сясьстрой;Ленинградская область;Северо-Западный;12 566;1926;1992;Сясьские Рядки
941;;Тавда;Свердловская область;Уральский;32 749;1910;1937;
942;;Таганрог;Ростовская область;Южный;245 120;1698;1775;
943;;Тайга;Кемеровская область;Сибирский;22 375;1896;1911;
944;;Тайшет;Иркутская область;Сибирский;34 491;1897;1938;
945;;Талдом;Московская область;Центральный;17 317;1677;1918;
946;;Талица;Свердловская область;Уральский;14 808;1732;1942;
947;;Тамбов;Тамбовская область;Центральный;261 803;1636;1719;Танбов
948;;Тара;Омская область;Сибирский;26 878;1594;1594;
949;;Тарко-Сале;Ямало-Ненецкий АО;Уральский;19 900;1932;2004;
950;;Таруса;Калужская область;Центральный;9918;1246;1776;
951;;Татарск;Новосибирская область;Сибирский;23 711;1894;1911;
952;;Таштагол;Кемеровская область;Сибирский;21 980;1939;1963;
953;;Тверь;Тверская область;Центральный;416 219;1135;1139;
954;;Теберда;Карачаево-Черкесия;Северо-Кавказский;9020;1868;1971;
955;;Тейково;Ивановская область;Центральный;31 305;;1918;
956;;Темников;Мордовия;Приволжский;6451;;1536;
957;;Темрюк;Краснодарский край;Южный;41 608;1860;1860;
958;;Терек;Кабардино-Балкария;Северо-Кавказский;19 948;1876;1967;
959;;Тетюши;Татарстан;Приволжский;10 535;1578;1781;
960;;Тимашёвск;Краснодарский край;Южный;51 858;1794;1966;
961;;Тихвин;Ленинградская область;Северо-Западный;55 415;1383;1773;
962;;Тихорецк;Краснодарский край;Южный;55 686;1895;1926;Тихорецкий
963;;Тобольск;Тюменская область;Уральский;100 352;1587;1590;
964;;Тогучин;Новосибирская область;Сибирский;20 766;1867;1945;
965;;Тольятти;Самарская область;Приволжский;684 709;1737;1780;
966;;Томари;Сахалинская область;Дальневосточный;4313;1870;1946;
967;;Томмот;Якутия;Дальневосточный;6440;1923;1923;
968;;Томск;Томская область;Сибирский;556 478;1604;1604;
969;;Топки;Кемеровская область;Сибирский;27 158;1914;1933;
970;;Торжок;Тверская область;Центральный;41 116;;1135;Новый Торг
971;;Торопец;Тверская область;Центральный;11 441;1074;1074;
972;;Тосно;Ленинградская область;Северо-Западный;34 066;1500;1963;
973;;Тотьма;Вологодская область;Северо-Западный;8669;1137;1780;
974;;Трёхгорный;Челябинская область;Уральский;32 463;1952;1955;
975;;Троицк;Челябинская область;Уральский;70 301;1743;1784;
976;;Трубчевск;Брянская область;Центральный;13 287;975;975;
977;;Туапсе;Краснодарский край;Южный;61 571;1838;1916;
978;;Туймазы;Башкортостан;Приволжский;68 349;1912;1960;Туймаза
979;;Тула;Тульская область;Центральный;473 622;1146;1146;
980;;Тулун;Иркутская область;Сибирский;38 440;1735;1927;
981;;Туран;Тыва;Сибирский;5044;1885;1945;
982;;Туринск;Свердловская область;Уральский;16 561;1600;1600;Епанчин
983;;Тутаев;Ярославская область;Центральный;39 643;;1822;
984;;Тында;Амурская область;Дальневосточный;28 625;1907;1975;
985;;Тырныауз;Кабардино-Балкария;Северо-Кавказский;22 056;1934;1955;
986;;Тюкалинск;Омская область;Сибирский;9894;1759;1823;Тюкала
987;;Тюмень;Тюменская область;Уральский;847 488;1586;1586;Чинги-Тура
988;;Уварово;Тамбовская область;Центральный;23 584;1699;1966;
989;;Углегорск;Сахалинская область;Дальневосточный;8041;;1946;
990;;Углич;Ярославская область;Центральный;32 719;1148;1148;
991;;Удачный;Якутия;Дальневосточный;12 930;1967;1987;
992;;Удомля;Тверская область;Центральный;25 950;1478;1981;
993;;Ужур;Красноярский край;Сибирский;14 134;1760;1953;Усул
994;;Узловая;Тульская область;Центральный;49 427;1873;1938;
995;;Улан-Удэ;Бурятия;Сибирский;437 565;1666;1690;
996;;Ульяновск;Ульяновская область;Приволжский;617 352;1648;1648;
997;;Унеча;Брянская область;Центральный;24 274;1887;1940;
998;;Урай;Ханты-Мансийский АО;Уральский;41 315;1922;1965;
999;;Урень;Нижегородская область;Приволжский;12 450;1719;1973;Трёхсвятское
1000;;Уржум;Кировская область;Приволжский;8448;1584;1796;
1001;;Урус-Мартан;Чечня;Северо-Кавказский;63 449;;1990;
1002;;Урюпинск;Волгоградская область;Южный;36 669;1618;1929;
1003;;Усинск;Коми;Северо-Западный;32 182;1966;1984;
1004;;Усмань;Липецкая область;Центральный;19 662;1645;1779;
1005;;Усолье-Сибирское;Иркутская область;Сибирский;74 762;1669;1925;
1006;;Усолье;Пермский край;Приволжский;6619;1606;1940;
1007;;Уссурийск;Приморский край;Дальневосточный;180 393;1866;1898;
1008;;Усть-Джегута;Карачаево-Черкесия;Северо-Кавказский;31 137;1868;1975;
1009;;Усть-Илимск;Иркутская область;Сибирский;79 570;1966;1973;
1010;;Усть-Катав;Челябинская область;Уральский;21 439;1758;1942;Усть-Катавский завод
1011;;Усть-Кут;Иркутская область;Сибирский;36 918;1631;1954;
1012;;Усть-Лабинск;Краснодарский край;Южный;40 158;1794;1958;
1013;;Устюжна;Вологодская область;Северо-Западный;7843;1252;1252;
1014;;Уфа;Башкортостан;Приволжский;1 144 809;1574;1586;
1015;;Ухта;Коми;Северо-Западный;79 899;1929;1943;
1016;;Учалы;Башкортостан;Приволжский;36 175;;1963;
1017;;Уяр;Красноярский край;Сибирский;12 036;1760;1944;Клюквенная
1018;;Фатеж;Курская область;Центральный;4691;;1779;
1019;;;Крым;Южный;66 293;;;
1020;;Фокино;Брянская область;Центральный;12 538;1899;1964;
1021;;Фокино;Приморский край;Дальневосточный;19 711;1891;1980;
1022;;Фролово;Волгоградская область;Южный;35 661;1859;1936;
1023;;Фрязино;Московская область;Центральный;60 580;1584;1951;
1024;;Фурманов;Ивановская область;Центральный;29 715;1918;1918;
1025;;Хабаровск;Хабаровский край;Дальневосточный;617 441;1858;1880;
1026;;Хадыженск;Краснодарский край;Южный;22 094;1864;1949;
1027;;Ханты-Мансийск;Ханты-Мансийский АО — Югра;Уральский;107 473;1582;1950;
1028;;Харабали;Астраханская область;Южный;18 514;1789;1974;
1029;;Харовск;Вологодская область;Северо-Западный;8389;1903;1954;
1030;;Хасавюрт;Дагестан;Северо-Кавказский;155 144;1846;1931;
1031;;Хвалынск;Саратовская область;Приволжский;12 042;1556;1780;
1032;;Хилок;Забайкальский край;Сибирский;9948;1895;1951;
1033;;Химки;Московская область;Центральный;257 128;1850;1939;
1034;;Холм;Новгородская область;Северо-Западный;3214;1144;1777;
1035;;Холмск;Сахалинская область;Дальневосточный;25 677;1870;1922;
1036;;Хотьково;Московская область;Центральный;20 466;1308;1949;
1037;;Цивильск;Чувашия;Приволжский;12 762;1589;1781;
1038;;Цимлянск;Ростовская область;Южный;14 731;1672;1961;
1039;;Циолковский;Амурская область;Дальневосточный;7194;1961;2015;
1040;;Чадан;Тыва;Сибирский;9732;1873;1945;
1041;;Чайковский;Пермский край;Приволжский;75 837;1955;1962;
1042;;Чапаевск;Самарская область;Приволжский;70 228;1909;1927;
1043;;Чаплыгин;Липецкая область;Центральный;11 579;1638;1778;
1044;;Чебаркуль;Челябинская область;Уральский;44 693;1736;1951;
1045;;Чебоксары;Чувашия;Приволжский;497 807;1469;1469;
1046;;Чегем;Кабардино-Балкария;Северо-Кавказский;20 736;1822;2000;
1047;;Чекалин;Тульская область;Центральный;935;1565;1746;
1048;;Челябинск;Челябинская область;Уральский;1 189 525;1736;1781;
1049;;Чердынь;Пермский край;Приволжский;4590;1451;1535;
1050;;Черемхово;Иркутская область;Сибирский;53 958;1772;1917;Черемховское
1051;;Черепаново;Новосибирская область;Сибирский;19 900;1912;1925;
1052;;Череповец;Вологодская область;Северо-Западный;305 185;1777;1777;
1053;;Черкесск;Карачаево-Черкесия;Северо-Кавказский;113 226;1825;1931;
1054;;Чёрмоз;Пермский край;Приволжский;3044;1701;1943;
1055;;Черноголовка;Московская область;Центральный;19 530;1710;2001;
1056;;Черногорск;Хакасия;Сибирский;75 745;1936;1936;
1057;;Чернушка;Пермский край;Приволжский;32 991;1854;1966;
1058;;Черняховск;Калининградская область;Северо-Западный;36 128;1336;1583;
1059;;Чехов;Московская область;Центральный;89 025;1175;1954;
1060;;Чистополь;Татарстан;Приволжский;58 815;;1781;
1061;;Чита;Забайкальский край;Сибирский;334 427;1653;1851;
1062;;Чкаловск;Нижегородская область;Приволжский;11 535;;1955;
1063;;Чудово;Новгородская область;Северо-Западный;14 302;;1937;
1064;;Чулым;Новосибирская область;Сибирский;11 034;1762;1947;
1065;;Чусовой;Пермский край;Приволжский;45 471;1878;1933;
1066;;Чухлома;Костромская область;Центральный;4252;1381;1778;
1067;;Шагонар;Тыва;Сибирский;11 772;1888;1945;
1068;;Шадринск;Курганская область;Уральский;68 609;1662;1712;
1069;;Шали;Чечня;Северо-Кавказский;55 054;;1990;
1070;;Шарыпово;Красноярский край;Сибирский;33 961;;1981;
1071;;Шарья;Костромская область;Центральный;20 439;1906;1938;
1072;;Шатура;Московская область;Центральный;38 230;1423;1936;
1073;;Шахты;Ростовская область;Южный;226 452;1805;1867;
1074;;Шахунья;Нижегородская область;Приволжский;17 626;1912;1943;
1075;;Шацк;Рязанская область;Центральный;5927;1553;1553;
1076;;Шебекино;Белгородская область;Центральный;39 680;1713;1938;
1077;;Шелехов;Иркутская область;Сибирский;41 998;1953;1962;
1078;;Шенкурск;Архангельская область;Северо-Западный;4600;1137;1780;
1079;;Шилка;Забайкальский край;Сибирский;12 046;1897;1951;
1080;;Шимановск;Амурская область;Дальневосточный;16 488;1910;1950;
1081;;Шиханы;Саратовская область;Приволжский;5155;1928;1996;
1082;;Шлиссельбург;Ленинградская область;Северо-Западный;14 131;1323;1780;
1083;;Шумерля;Чувашия;Приволжский;26 873;1916;1937;
1084;;Шумиха;Курганская область;Уральский;16 264;1892;1944;
1085;;Шуя;Ивановская область;Центральный;55 225;1394;1778;Борисоглебская слобода
1086;;Щёкино;Тульская область;Центральный;55 109;1870;1938;
1087;;;Крым;Южный;10 131;1978;1992;
1088;;Щёлково;Московская область;Центральный;134 211;;1925;
1089;;Щигры;Курская область;Центральный;14 927;;1779;
1090;;Щучье;Курганская область;Уральский;8252;1750;1945;
1091;;Электрогорск;Московская область;Центральный;29 982;1912;1946;
1092;;Электросталь;Московская область;Центральный;146 403;1916;1938;
1093;;Электроугли;Московская область;Центральный;17 944;1899;1956;
1094;;Элиста;Калмыкия;Южный;102 583;1865;1930;
1095;;Энгельс;Саратовская область;Приволжский;225 428;1747;1914;
1096;;Эртиль;Воронежская область;Центральный;10 024;1897;1963;Ертил
1097;;Югорск;Ханты-Мансийский АО;Уральский;38 238;1962;1992;
1098;;Южа;Ивановская область;Центральный;12 957;1628;1925;
1099;;Южно-Сахалинск;Сахалинская область;Дальневосточный;181 587;1882;1905;
1100;;Южно-Сухокумск;Дагестан;Северо-Кавказский;10 503;1958;1988;
1101;;Южноуральск;Челябинская область;Уральский;37 478;1948;1963;
1102;;Юрга;Кемеровская область;Сибирский;79 693;1886;1949;
1103;;Юрьев-Польский;Владимирская область;Центральный;17 276;1152;1778;
1104;;Юрьевец;Ивановская область;Центральный;7899;1225;1778;
1105;;Юрюзань;Челябинская область;Уральский;10 284;1758;1943;
1106;;Юхнов;Калужская область;Центральный;6610;1410;1777;
1107;;Ядрин;Чувашия;Приволжский;7918;1590;1781;
1108;;Якутск;Якутия;Дальневосточный;355 443;1632;1643;
1109;;;Крым;Южный;74 652;1154;1838;
1110;;Ялуторовск;Тюменская область;Уральский;38 853;1659;1782;
1111;;Янаул;Башкортостан;Приволжский;25 908;1730-е;1991;
1112;;Яранск;Кировская область;Приволжский;14 284;1584;1780;
1113;;Яровое;Алтайский край;Сибирский;16 424;1943;1993;
1114;;Ярославль;Ярославская область;Центральный;577 279;1010;1071;
1115;;Ярцево;Смоленская область;Центральный;41 452;1610;1926;
1116;;Ясногорск;Тульская область;Центральный;15 269;1578;1958;
1117;;Ясный;Оренбургская область;Приволжский;15 471;1961;1979;
1118;;Яхрома;Московская область;Центральный;14 011;1841;1940;
1;;;Севастополь;Южный;35 919;VIII в. до н. э.;2019;Баликайя, Симболум, Символон, Чембало, Ямболи
2;;Зеленогорск;Санкт-Петербург;Северо-Западный;15 613;1548;1946;
3;;Зеленоград;Москва;Центральный;256 775;1963;1963;
4;;;Севастополь;Южный;13 858;VI век н. э.;1976;
5;;Колпино;Санкт-Петербург;Северо-Западный;142 108;1722;1912;
6;;Красное Село;Санкт-Петербург;Северо-Западный;56 533;1714;1999;муниципальный округ № 43
7;;Кронштадт;Санкт-Петербург;Северо-Западный;44 399;1704;1704;Кроншлот
8;;Ломоносов;Санкт-Петербург;Северо-Западный;39 147;1710;1780;
9;;Московский;Москва;Центральный;;1969;2004;Передельцы
10;;Павловск;Санкт-Петербург;Северо-Западный;17 463;1777;1796;
11;;Петергоф;Санкт-Петербург;Северо-Западный;80 814;1710;1762;
12;;Пушкин;Санкт-Петербург;Северо-Западный;107 223;1710;1808;
13;;Сестрорецк;Санкт-Петербург;Северо-Западный;45 192;1714;1925;
14;;Троицк;Москва;Центральный;65 043;1751;1977;пустошь Троицкая, Троицкое
15;;Щербинка;Москва;Центральный;56 531;1766;1975;
